P_id,Parla_Accession_No,Parla_Language_Name,Culture,P_cid,Culture_2,P_cid_2,Parla_V1,Parla_V2,Parla_V3,Parla_V4,Parla_V5,Parla_V6,Parla_V7,Parla_V8,Parla_V9A,Parla_V9B,Parla_V9C,Parla_V10,Parla_V11,Parla_V12A,Parla_V12B,Parla_V13,Parla_V14,Parla_V15,Parla_V16,Parla_V17,Parla_V18,Parla_V19,Parla_V20,Parla_V21,Parla_V22,Parla_V23,Parla_V24,Parla_V25,Parla_V26,Parla_V27,Parla_V28,Parla_V29,Parla_V30,Parla_V31,Parla_V32,Parla_V33,Parla_V34,Parla_V35,Parla_V36,Parla_V37,Parla_V38,Parla_V39,Parla_V40,Parla_V41,Parla_V42,Parla_V43,Parla_V44,Parla_V45,Parla_V46,Parla_V47,Parla_V48,Parla_V49,Parla_Real1,Parla_Real2,Parla_Real3,Parla_Real4,Parla_Real5,Parla_Real6,Parla_Real7,Parla_Real8,Parla_Coder,Parla_Active
95,4161,Malagasy,Merina,21242,,,32,2,4,24,2,4,32,64,8,2,4,8,24,2,4,24,12,8,12,6,2,2,24,12,16,2,2,6,4,4,16,6,2,24,16,0,24,8,16,8,-124,256,4,8,10,4,4,6,6,4,6,4,41025,32831,61504,24640,32831,8256,8257,28737,,1
67,53313,Pompango,Bontoc,30140,,,48,20,4,12,24,4,4,16,2,4,0,12,24,32,16,20,8,16,48,12,6,4,2,4,48,2,8,48,48,8,16,2,6,4,12,8,20,48,48,8,-124,256,32,4,8,12,4,2,2,4,4,4,53313,41024,32832,32831,64,32959,66,59457,,1
169,57409,Hausa,Hausa Unspecified,62528,,,32,20,2,12,12,16,4,8,2,2,4,2,16,32,0,18,8,48,32,8,4,4,2,24,16,2,12,36,40,24,48,4,2,24,16,16,16,24,16,8,-96,256,18,8,8,8,12,6,2,4,2,4,24642,20545,16448,32831,32831,64,2114,3138,,1
121,34881,Russian,Bryanskaya,13321,,,48,18,8,12,8,4,16,128,8,2,4,4,48,16,0,8,8,4,24,2,2,2,2,4,16,2,4,24,16,8,16,0,2,8,4,10,8,24,12,8,-96,256,36,10,12,8,4,4,2,2,6,2,53313,16448,65,16448,32831,64,43073,45121,,1
120,16449,Polish,C Polish Folk,23827,,,32,6,24,12,8,8,32,128,16,8,4,8,16,8,2,24,4,4,2,2,2,2,4,12,16,2,6,8,8,36,16,2,4,16,20,4,16,20,4,8,-96,256,32,2,6,2,2,2,2,2,2,4,3138,64,65,36928,16448,64,41025,65,,1
188,22594,Kung,Juǀʼhoansi,19262,,,32,40,6,2,2,0,0,2,2,0,0,2,32,32,0,32,8,32,2,2,8,8,2,2,32,2,4,8,32,32,24,6,2,10,24,4,48,20,40,4,-64,-128,4,96,20,8,24,2,2,4,2,4,32959,32959,32831,63,32959,32959,4419,56386,,1
47,62018,Even (Lamut),Even,15192,,,0,4,4,12,8,16,16,8,2,2,2,8,4,32,4,4,2,8,16,4,4,2,4,16,16,2,2,16,16,4,2,2,4,16,8,4,4,4,4,8,0,8,96,4,8,4,4,2,2,2,4,4,14402,41024,24640,49215,63,32831,66,16449,,1
1,46658,Namie,Lujere,62530,,,0,0,2,16,2,0,0,4,2,2,2,2,2,0,0,8,2,8,8,2,4,8,32,32,4,2,2,4,8,10,2,0,4,48,0,12,2,16,2,2,2,40,32,8,2,6,4,2,2,2,4,4,32959,32959,64,32831,49215,63,32959,32959,,1
174,5186,Dyola,Jola-Fonyi,14598,,,32,18,2,12,8,4,8,64,16,4,32,4,4,4,0,18,2,4,8,4,4,8,4,4,16,6,48,24,48,2,12,4,2,6,16,2,32,16,24,2,2,4,18,2,4,4,6,4,2,4,2,2,41025,16448,49216,32832,8256,41024,28737,28737,,1
46,56898,Chuckchee,Chaunsky Chuckchi,13850,,,16,20,2,24,8,4,8,16,2,4,4,8,4,8,0,8,2,8,4,4,4,2,4,4,4,4,2,8,8,2,2,4,4,4,4,2,4,4,2,2,2,16,32,2,8,4,2,2,2,2,4,2,51265,32832,36928,0,64,8256,32833,32833,,1
65,36418,Ilianen Manobo,Manobo,20791,,,32,2,2,16,2,4,128,8,2,2,4,2,2,2,0,8,2,2,2,2,2,4,32,32,6,2,2,10,2,2,2,2,4,8,16,40,2,32,2,8,4,16,4,2,8,6,2,6,2,2,2,4,51265,0,16448,63,49215,64,57408,32832,,1
50,65347,Nivkh,Nivkh,15907,,,2,0,0,0,0,0,0,0,4,2,2,4,0,0,0,0,0,0,0,0,0,8,0,24,2,2,2,8,0,4,0,2,4,48,48,4,2,24,6,8,4,8,48,2,4,4,2,2,4,2,2,4,32959,32959,8256,64,63,49215,32959,32959,,1
